COUNTRY_DISPLAY,YEAR_DISPLAY,STARTYEAR,ENDYEAR,GHO_DISPLAY,DIMENSION_NAME,Value_num
Bhutan,2025,2025,2025,Estimate of current tobacco smoking prevalence (%),Male,9.8
Bhutan,2020,2020,2020,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",Male,8
Bhutan,1990,1990,1990,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",Female,18.5
Bhutan,1994,1994,1994,"Mean HDL cholesterol, crude",Both sexes,1.2
Bhutan,2018,2018,2018,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,14.4
Bhutan,2015,2015,2015,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Both sexes,7.5
Bhutan,2013,2013,2013,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Other alcoholic beverages,0
Bhutan,2022,2022,2022,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,1.7
Bhutan,2020,2020,2020,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,Both sexes,45
Bhutan,2010,2010,2010,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),Both sexes,9.8
Bhutan,2021,2021,2021,Crude suicide rates (per 100 000 population),Female,5.3
Bhutan,2012,2012,2012,Insufficiently active (crude estimate),Male,82.7
Bhutan,1984,1984,1984,"Mean Non-HDL cholesterol, age-standardized",Both sexes,2.9
Bhutan,1998,1998,1998,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,5.8
Bhutan,1991,1991,1991,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,3.5
Bhutan,1980,1980,1980,"Mean HDL cholesterol, crude",Both sexes,1.2
Bhutan,1995,1995,1995,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,4.4
Bhutan,2012,2012,2012,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",Female,37.2
Bhutan,2014,2014,2014,"Mean total cholesterol,  crude",Both sexes,4.1
Bhutan,2002,2002,2002,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",Both sexes,3.5
Bhutan,2004,2004,2004,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Both sexes,11.7
Bhutan,2015,2015,2015,"Mean total cholesterol,  age-standardized",Both sexes,4.1
Bhutan,1978,1978,1978,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Beer,0.49
Bhutan,1990,1990,1990,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Both sexes,1.7
Bhutan,1995,1995,1995,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",Female,15
Bhutan,2006,2006,2006,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,9.1
Bhutan,1998,1998,1998,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Female,1.7
Bhutan,2004,2004,2004,"Diabetes treatment coverage, age-standardized",Female,13.7
Bhutan,1991,1991,1991,"Prevalence of diabetes, crude",Both sexes,11.4
Bhutan,1986,1986,1986,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Wine,0
Bhutan,1992,1992,1992,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Male,1.4
Bhutan,2019,2019,2019,"Prevalence of diabetes, age-standardized",Male,18.2
Bhutan,1992,1992,1992,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Both sexes,0.9
Bhutan,1996,1996,1996,"Mean HDL cholesterol, age-standardized",Both sexes,1.2
Bhutan,1997,1997,1997,"Mean Non-HDL cholesterol, crude",Both sexes,3.1
Bhutan,2003,2003,2003,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Male,1.6
Bhutan,1998,1998,1998,"Mean Non-HDL cholesterol, crude",Both sexes,3.1
Bhutan,2004,2004,2004,"Mean Non-HDL cholesterol, age-standardized",Female,3.2
Bhutan,2017,2017,2017,"Mean Non-HDL cholesterol, age-standardized",Female,3.1
Bhutan,1996,1996,1996,"Diabetes treatment coverage, age-standardized",Female,13.5
Bhutan,2018,2018,2018,"Mean total cholesterol,  crude",Both sexes,4.1
Bhutan,1991,1991,1991,"Mean total cholesterol,  crude",Both sexes,4.2
Bhutan,1994,1994,1994,"Prevalence of diabetes, age-standardized",Female,10.5
Bhutan,2021,2021,2021,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Male,4.9
Bhutan,2021,2021,2021,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Female,4.4
Bhutan,2006,2006,2006,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Both sexes,11.3
Bhutan,2021,2021,2021,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Male,4.5
Bhutan,2019,2019,2019,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Wine,0.1
Bhutan,2017,2017,2017,"Mean total cholesterol,  age-standardized",Female,4.1
Bhutan,2011,2011,2011,"Diabetes treatment coverage, age-standardized",Female,14.4
Bhutan,2019,2019,2019,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",Male,17.8
Bhutan,2013,2013,2013,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",Male,19.1
Bhutan,2013,2013,2013,Total NCD Deaths,Both sexes,2490
Bhutan,2016,2016,2016,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Male,8.4
Bhutan,2018,2018,2018,"Mean HDL cholesterol, crude",Female,1.1
Bhutan,2010,2010,2010,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Spirits,0.3
Bhutan,2018,2018,2018,Total NCD Deaths,Female,1290
Bhutan,1995,1995,1995,"Prevalence of diabetes, age-standardized",Both sexes,13.6
Bhutan,2007,2007,2007,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Both sexes,10.1
Bhutan,2007,2007,2007,Insufficiently active (crude estimate),Female,84.9
Bhutan,2000,2000,2000,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,Female,63
Bhutan,2019,2019,2019,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Male,5.4
Bhutan,1993,1993,1993,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,4
Bhutan,2006,2006,2006,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Male,14.3
Bhutan,2007,2007,2007,"Prevalence of diabetes, age-standardized",Male,16.5
Bhutan,1997,1997,1997,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,5.4
Bhutan,1963,1963,1963,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",All types,0.51
Bhutan,2010,2010,2010,Crude suicide rates (per 100 000 population),Male,6.3
Bhutan,1999,1999,1999,"Prevalence of diabetes, crude",Female,9.5
Bhutan,2013,2013,2013,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),Female,12
Bhutan,1982,1982,1982,"Mean total cholesterol,  crude",Female,4
Bhutan,2015,2015,2015,Estimate of current tobacco use prevalence (%) (age-standardized rate),Both sexes,21.9
Bhutan,2004,2004,2004,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,7.6
Bhutan,2019,2019,2019,"Diabetes treatment coverage, age-standardized",Male,14.5
Bhutan,1990,1990,1990,"Prevalence of diabetes, age-standardized",Female,12.7
Bhutan,2022,2022,2022,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Both sexes,5.3
Bhutan,2004,2004,2004,"Mean total cholesterol,  crude",Male,4.2
Bhutan,2017,2017,2017,"Mean Non-HDL cholesterol, age-standardized",Male,3.1
Bhutan,1993,1993,1993,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Both sexes,0.9
Bhutan,2003,2003,2003,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Female,5.3
Bhutan,2005,2005,2005,"Mean total cholesterol,  age-standardized",Male,4.2
Bhutan,2014,2014,2014,"Diabetes treatment coverage, age-standardized",Female,15
Bhutan,1991,1991,1991,"Mean HDL cholesterol, age-standardized",Both sexes,1.2
Bhutan,2017,2017,2017,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",Male,35.2
Bhutan,2011,2011,2011,"Prevalence of diabetes, age-standardized",Both sexes,13.8
Bhutan,1991,1991,1991,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Male,18.4
Bhutan,2014,2014,2014,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Male,10.1
Bhutan,2011,2011,2011,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",Male,7.1
Bhutan,1992,1992,1992,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Female,9.9
Bhutan,1995,1995,1995,"Mean total cholesterol,  crude",Both sexes,4.2
Bhutan,1986,1986,1986,"Mean total cholesterol,  crude",Male,4.2
Bhutan,2015,2015,2015,Crude suicide rates (per 100 000 population),Male,6.6
Bhutan,2021,2021,2021,Crude suicide rates (per 100 000 population),Female,2.6
Bhutan,2002,2002,2002,"Prevalence of diabetes, crude",Both sexes,14.6
Bhutan,2011,2011,2011,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,12.7
Bhutan,1998,1998,1998,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Male,1.3
Bhutan,2012,2012,2012,Insufficiently active (crude estimate),Both sexes,83.9
Bhutan,2004,2004,2004,"Diabetes treatment coverage, age-standardized",Male,13.3
Bhutan,2013,2013,2013,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,Female,43
Bhutan,1988,1988,1988,"Mean Non-HDL cholesterol, crude",Male,3
Bhutan,1993,1993,1993,"Mean total cholesterol,  crude",Female,4.1
Bhutan,1995,1995,1995,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Male,4
Bhutan,1990,1990,1990,"Mean Non-HDL cholesterol, crude",Female,2.9
Bhutan,2019,2019,2019,"Prevalence of diabetes, crude",Both sexes,13
Bhutan,1996,1996,1996,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,5.1
Bhutan,1999,1999,1999,"Prevalence of diabetes, age-standardized",Both sexes,11.3
Bhutan,2010,2010,2010,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",Female,7.4
Bhutan,1981,1981,1981,"Mean total cholesterol,  age-standardized",Female,4
Bhutan,1992,1992,1992,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",Male,12.6
Bhutan,2007,2007,2007,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Both sexes,2
Bhutan,2005,2005,2005,"Prevalence of diabetes, crude",Male,14.8
Bhutan,1988,1988,1988,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",All types,0.32
Bhutan,2014,2014,2014,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Wine,0.1
Bhutan,1994,1994,1994,"Mean total cholesterol,  crude",Both sexes,4.2
Bhutan,2008,2008,2008,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,1.9
Bhutan,2017,2017,2017,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,17
Bhutan,2009,2009,2009,"Mean Non-HDL cholesterol, crude",Both sexes,3.1
Bhutan,2000,2000,2000,"Prevalence of diabetes, age-standardized",Both sexes,15.1
Bhutan,1990,1990,1990,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,3.3
Bhutan,1994,1994,1994,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",Both sexes,2
Bhutan,2003,2003,2003,"Mean total cholesterol,  age-standardized",Male,4.2
Bhutan,1994,1994,1994,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,4.6
Bhutan,2010,2010,2010,Estimate of current tobacco use prevalence (%),Female,18.4
Bhutan,2021,2021,2021,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Male,8.8
Bhutan,2021,2021,2021,Crude suicide rates (per 100 000 population),Female,3.2
Bhutan,2008,2008,2008,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Male,8.2
Bhutan,1990,1990,1990,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Male,20.6
Bhutan,1996,1996,1996,"Prevalence of diabetes, age-standardized",Female,14.5
Bhutan,2000,2000,2000,Estimate of current tobacco smoking prevalence (%) (age-standardized rate),Both sexes,14.5
Bhutan,2021,2021,2021,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",Male,3.3
Bhutan,1995,1995,1995,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,4.8
Bhutan,2020,2020,2020,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",Both sexes,3.6
Bhutan,2019,2019,2019,"Prevalence of diabetes, age-standardized",Both sexes,14.9
Bhutan,2012,2012,2012,"Mean HDL cholesterol, crude",Both sexes,1.1
Bhutan,1981,1981,1981,"Mean Non-HDL cholesterol, crude",Female,2.7
Bhutan,2011,2011,2011,"Mean total cholesterol,  age-standardized",Both sexes,4.2
Bhutan,1981,1981,1981,"Mean HDL cholesterol, age-standardized",Female,1.2
Bhutan,2016,2016,2016,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Other alcoholic beverages,0
Bhutan,1985,1985,1985,"Mean HDL cholesterol, crude",Male,1.2
Bhutan,1992,1992,1992,"Mean HDL cholesterol, crude",Male,1.2
Bhutan,1982,1982,1982,"Mean HDL cholesterol, crude",Both sexes,1.2
Bhutan,2022,2022,2022,Estimate of current tobacco use prevalence (%) (age-standardized rate),Female,11.1
Bhutan,2013,2013,2013,"Diabetes treatment coverage, age-standardized",Female,14.8
Bhutan,1993,1993,1993,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,3.8
Bhutan,2015,2015,2015,Estimate of current tobacco smoking prevalence (%),Male,12.8
Bhutan,1992,1992,1992,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Male,3.5
Bhutan,2008,2008,2008,"Prevalence of diabetes, age-standardized",Female,13.8
Bhutan,2003,2003,2003,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,1.9
Bhutan,1999,1999,1999,"Mean total cholesterol,  crude",Male,4.2
Bhutan,1993,1993,1993,"Diabetes treatment coverage, age-standardized",Female,13.6
Bhutan,2008,2008,2008,"Prevalence of diabetes, crude",Male,15.4
Bhutan,1992,1992,1992,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Male,21.5
Bhutan,2005,2005,2005,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,7.5
Bhutan,2002,2002,2002,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,6.1
Bhutan,1997,1997,1997,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",Both sexes,17.2
Bhutan,2007,2007,2007,"Prevalence of diabetes, crude",Both sexes,10.7
Bhutan,1966,1966,1966,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",All types,0.49
Bhutan,2005,2005,2005,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Male,8.3
Bhutan,2013,2013,2013,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,14.2
Bhutan,2008,2008,2008,"Mean Non-HDL cholesterol, age-standardized",Female,3.2
Bhutan,2003,2003,2003,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,2.6
Bhutan,2001,2001,2001,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,5.7
Bhutan,2021,2021,2021,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,21.6
Bhutan,2008,2008,2008,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Male,3.2
Bhutan,2022,2022,2022,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Male,5.2
Bhutan,2003,2003,2003,"Mean total cholesterol,  age-standardized",Female,4.3
Bhutan,2011,2011,2011,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Both sexes,9
Bhutan,2008,2008,2008,"Prevalence of diabetes, crude",Female,16.8
Bhutan,1999,1999,1999,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",Female,22.5
Bhutan,2000,2000,2000,Estimate of current tobacco smoking prevalence (%) (age-standardized rate),Male,17
Bhutan,1997,1997,1997,"Prevalence of diabetes, age-standardized",Both sexes,14.2
Bhutan,2007,2007,2007,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Female,6.8
Bhutan,1984,1984,1984,"Mean Non-HDL cholesterol, crude",Male,2.9
Bhutan,2006,2006,2006,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Both sexes,1.9
Bhutan,2018,2018,2018,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Male,4.1
Bhutan,2004,2004,2004,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Male,2.5
Bhutan,2010,2010,2010,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Male,11.9
Bhutan,2018,2018,2018,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Male,12.2
Bhutan,1997,1997,1997,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Other alcoholic beverages,0
Bhutan,2015,2015,2015,"Mean total cholesterol,  crude",Both sexes,4.1
Bhutan,2013,2013,2013,Prevalence of insufficient physical activity among adults aged 18+ years (crude estimate) (%),Male,7.5
Bhutan,2016,2016,2016,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Both sexes,4.6
Bhutan,2012,2012,2012,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Female,4.5
Bhutan,1994,1994,1994,"Prevalence of diabetes, age-standardized",Male,12.8
Bhutan,2015,2015,2015,Total NCD Deaths,Both sexes,2700
Bhutan,2012,2012,2012,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,Female,44
Bhutan,2005,2005,2005,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Male,9.8
Bhutan,1997,1997,1997,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Female,1.6
Bhutan,1999,1999,1999,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",Female,12.5
Bhutan,1991,1991,1991,"Prevalence of diabetes, age-standardized",Male,9
Bhutan,2001,2001,2001,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,6.3
Bhutan,2007,2007,2007,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",Male,22.3
Bhutan,1999,1999,1999,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Male,2.3
Bhutan,2003,2003,2003,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Both sexes,6.9
Bhutan,2007,2007,2007,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",Female,2.3
Bhutan,1996,1996,1996,"Mean Non-HDL cholesterol, crude",Both sexes,3.1
Bhutan,1998,1998,1998,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",All types,1.79
Bhutan,2019,2019,2019,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",Both sexes,16.7
Bhutan,1989,1989,1989,"Mean HDL cholesterol, crude",Male,1.2
Bhutan,2009,2009,2009,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",Female,11.4
Bhutan,1993,1993,1993,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Male,1.5
Bhutan,2008,2008,2008,"Mean total cholesterol,  crude",Both sexes,4.2
Bhutan,1982,1982,1982,"Mean Non-HDL cholesterol, crude",Both sexes,2.8
Bhutan,2016,2016,2016,"Mean Non-HDL cholesterol, crude",Female,3
Bhutan,2019,2019,2019,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",Female,15.4
Bhutan,2002,2002,2002,"Mean Non-HDL cholesterol, age-standardized",Female,3.2
Bhutan,2018,2018,2018,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",Both sexes,6.5
Bhutan,2015,2015,2015,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",Female,43.3
Bhutan,1983,1983,1983,"Mean Non-HDL cholesterol, age-standardized",Male,2.9
Bhutan,2005,2005,2005,"Mean Non-HDL cholesterol, crude",Both sexes,3.1
Bhutan,2021,2021,2021,Crude suicide rates (per 100 000 population),Male,6.4
Bhutan,2022,2022,2022,Estimate of current tobacco smoking prevalence (%),Female,2.7
Bhutan,2015,2015,2015,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Both sexes,8.4
Bhutan,2008,2008,2008,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),Male,8.3
Bhutan,1984,1984,1984,"Mean Non-HDL cholesterol, age-standardized",Male,2.9
Bhutan,2013,2013,2013,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average",,1.9
Bhutan,2018,2018,2018,"Prevalence of diabetes, age-standardized",Female,15.4
Bhutan,2011,2011,2011,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), by beverage type",Wine,0.1
